timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
01:00 2024/03/27,BTCUSDT,TREND_REVERSAL,SELL,,,70142.4927,-0.47557324132706613,33357.89260809908,3.335789260809908,6638.831242558966,,46116.5606882028,,158.740898232799,2.391097053577335,45957.81978997,0.006803704761479819,0.0037075020724237763,TREND_REVERSAL
03:00 2024/03/27,BTCUSDT,BUY,BUY,0.8,0.65,69520.0,0.4790909801708833,33308.07026172688,3.3308070261726885,6661.280988295961,5.0,46113.22988117663,3338.719011704039,,,,,,
10:00 2024/03/27,BTCUSDT,TREND_REVERSAL,SELL,,,70639.66784,-0.4790909801708833,33842.82770441122,3.384282770441122,6661.280988295961,,46644.60304109052,,531.3731599138937,7.977041665822682,46113.22988117663,0.018785366830622655,0.0013272639014771436,TREND_REVERSAL
12:00 2024/03/27,BTCUSDT,BUY,BUY,0.55,0.45000000000000007,70257.2,0.4315428450992758,30320.507926307677,3.032050792630768,6063.798395341768,5.0,46641.57099029789,3936.201604658232,,,,,,
13:00 2024/03/27,BTCUSDT,TREND_REVERSAL,SELL,,,70529.773335,-0.4315428450992758,30436.61904919294,3.0436619049192943,6063.798395341768,,46754.63845127824,,113.0674609803449,1.8646309393663838,46641.57099029789,0.004780582580613546,0.0006890459551195155,TREND_REVERSAL
16:00 2024/03/27,BTCUSDT,BUY,BUY,0.75,0.6000000000000001,69600.1,0.4851607811120778,33768.927243422804,3.3768927243422806,6753.447776295745,5.0,46751.261558553895,3246.552223704255,,,,,,
17:00 2024/03/27,BTCUSDT,TREND_REVERSAL,SELL,,,70123.193665,-0.4851607811120778,34021.0234125849,3.4021023412584905,6753.447776295745,,46999.955625374736,,248.6940668208393,3.682475604442263,46751.261558553895,0.008780008082286662,0.0019478883843370017,TREND_REVERSAL
23:00 2024/03/27,BTCUSDT,BUY,BUY,0.6499999999999999,0.55,68908.0,0.4433443309411618,30551.498655051408,3.055149865505141,6109.994231298716,5.0,46996.90047550923,3890.005768701284,,,,,,
01:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,68719.263865,-0.4433443309411618,30466.296060997585,3.0466296060997586,6109.994231298716,,46908.65125184931,,-88.24922365992215,-1.4443421764272968,46996.90047550923,0.008286788888047158,0.007382596563560315,TREND_REVERSAL
02:00 2024/03/28,BTCUSDT,BUY,BUY,0.95,0.75,68539.0,0.5437242647749986,37268.180699282806,3.7268180699282807,7453.263476682725,5.0,46904.924433779386,2546.736523317275,,,,,,
